timestep,"value"
2018-08-08,4.0
2018-08-24,12.0
2018-09-07,10.0
2018-09-21,3.0
2018-10-10,2.0
2018-10-24,1.0
2018-11-02,2.0
2018-11-16,3.0
2018-11-30,3.0
2018-12-03,3.0
2018-12-14,5.0
2018-12-26,3.0
2019-01-11,4.0
2019-01-25,4.0
2019-02-08,12.0
2019-02-22,3.0
2019-03-08,2.0
2019-03-22,2.0
2019-04-05,8.0
2019-04-18,6.0
2019-05-06,3.0
2019-05-17,12.0
2019-05-31,6.0
2019-06-14,6.0
2019-06-28,2.0
2019-07-12,7.0
2019-07-29,5.0
2019-08-09,6.0
2019-08-23,7.0
2019-09-06,5.0
2019-09-20,6.0
2019-10-04,2.0
2019-10-18,4.0
2019-10-31,1.0
2019-11-15,2.0
2019-11-29,4.0
2019-12-13,3.0
2019-12-27,2.0
2020-01-10,12.0
2020-01-24,3.0
2020-02-07,2.0
2020-02-21,3.0
2020-03-06,5.0
2020-03-20,2.0
2020-04-01,3.0
2020-04-08,2.0
2020-04-15,2.0
2020-04-30,3.0
2020-05-14,0.0
