indicator_name,indicator_type,units,sub_type,input,value,date,city_name
azoto_total,Controlo Analitico,mg/l,Efluente Tratado,Saida,13.1,2018-08-01,Vila Real
azoto_total,Controlo Analitico,mg/l,Efluente Tratado,Saida,13.1,2018-08-08,Vila Real
azoto_total,Controlo Analitico,mg/l,Efluente Tratado,Saida,6.8,2018-08-13,Vila Real
azoto_total,Controlo Analitico,mg/l,Efluente Tratado,Saida,13.4,2018-08-23,Vila Real
azoto_total,Controlo Analitico,mg/l,Efluente Tratado,Saida,13.5,2018-08-24,Vila Real
azoto_total,Controlo Analitico,mg/l,Efluente Tratado,Saida,23.0,2018-08-31,Vila Real
azoto_total,Controlo Analitico,mg/l,Efluente Tratado,Saida,39.0,2018-09-07,Vila Real
azoto_total,Controlo Analitico,mg/l,Efluente Tratado,Saida,54.0,2018-09-14,Vila Real
azoto_total,Controlo Analitico,mg/l,Efluente Tratado,Saida,37.0,2018-09-20,Vila Real
azoto_total,Controlo Analitico,mg/l,Efluente Tratado,Saida,24.0,2018-09-21,Vila Real
azoto_total,Controlo Analitico,mg/l,Efluente Tratado,Saida,31.0,2018-09-28,Vila Real
azoto_total,Controlo Analitico,mg/l,Efluente Tratado,Saida,32.0,2018-10-10,Vila Real
azoto_total,Controlo Analitico,mg/l,Efluente Tratado,Saida,33.0,2018-10-12,Vila Real
azoto_total,Controlo Analitico,mg/l,Efluente Tratado,Saida,13.8,2018-10-24,Vila Real
azoto_total,Controlo Analitico,mg/l,Efluente Tratado,Saida,13.3,2018-10-26,Vila Real
azoto_total,Controlo Analitico,mg/l,Efluente Tratado,Saida,14.0,2018-11-02,Vila Real
azoto_total,Controlo Analitico,mg/l,Efluente Tratado,Saida,10.2,2018-11-09,Vila Real
azoto_total,Controlo Analitico,mg/l,Efluente Tratado,Saida,11.4,2018-11-16,Vila Real
azoto_total,Controlo Analitico,mg/l,Efluente Tratado,Saida,8.0,2018-11-23,Vila Real
azoto_total,Controlo Analitico,mg/l,Efluente Tratado,Saida,6.0,2018-11-30,Vila Real
azoto_total,Controlo Analitico,mg/l,Efluente Tratado,Saida,11.0,2018-12-07,Vila Real
azoto_total,Controlo Analitico,mg/l,Efluente Tratado,Saida,11.4,2018-12-14,Vila Real
azoto_total,Controlo Analitico,mg/l,Efluente Tratado,Saida,3.14,2018-12-20,Vila Real
azoto_total,Controlo Analitico,mg/l,Efluente Tratado,Saida,10.8,2018-12-26,Vila Real
azoto_total,Controlo Analitico,mg/l,Efluente Tratado,Saida,13.8,2019-01-02,Vila Real
azoto_total,Controlo Analitico,mg/l,Efluente Tratado,Saida,13.4,2019-01-11,Vila Real
azoto_total,Controlo Analitico,mg/l,Efluente Tratado,Saida,17.5,2019-01-18,Vila Real
azoto_total,Controlo Analitico,mg/l,Efluente Tratado,Saida,7.93,2019-01-23,Vila Real
azoto_total,Controlo Analitico,mg/l,Efluente Tratado,Saida,7.82,2019-01-25,Vila Real
azoto_total,Controlo Analitico,mg/l,Efluente Tratado,Saida,10.6,2019-02-01,Vila Real
azoto_total,Controlo Analitico,mg/l,Efluente Tratado,Saida,14.3,2019-02-08,Vila Real
azoto_total,Controlo Analitico,mg/l,Efluente Tratado,Saida,14.2,2019-02-15,Vila Real
azoto_total,Controlo Analitico,mg/l,Efluente Tratado,Saida,18.6,2019-02-22,Vila Real
