experiment,layers,dropout_rate,activation,timesteps,batch_size,filters,kernel_size,pool_size,epochs,mae_blind,rmse_blind,loss,mae,rmse,loss,mae,rmse,train_time
1,1,0.0,relu,7,10,32,4,1,25,0.16255618631839752,0.1847911924123764,0.03948863844076792,0.0272455761830012,0.04012391343712807,[[0.23732672]],[[0.16374591]],[[0.24114472]],24.406504154205322
2,1,0.0,relu,7,10,32,4,2,25,0.1507914513349533,0.17568214237689972,0.03857175447046757,0.026044975966215134,0.03922267506519953,[[0.23181624]],[[0.15653031]],[[0.23572828]],21.466383934020996
3,1,0.0,relu,7,10,32,5,1,25,0.1566644012928009,0.18105356395244598,0.037871841341257095,0.02567540357510249,0.03851358530422052,[[0.22760977]],[[0.15430918]],[[0.23146665]],21.616623163223267
4,1,0.0,relu,7,10,32,5,2,25,0.2363489717245102,0.25955522060394287,0.05348552390933037,0.04141078827281793,0.05393350372711817,[[0.321448]],[[0.24887884]],[[0.32414036]],20.57650876045227
5,1,0.0,relu,7,10,32,6,1,25,0.15199242532253265,0.17671619355678558,0.03742305872340997,0.025195221106211346,0.038083444039026894,[[0.22491258]],[[0.15142328]],[[0.2288815]],24.245492696762085
6,1,0.0,relu,7,10,32,6,2,25,0.16001911461353302,0.18458271026611328,0.0403706698367993,0.02814013386766116,0.040999909241994224,[[0.24262773]],[[0.1691222]],[[0.24640945]],20.51628541946411
7,1,0.0,relu,7,10,64,4,1,25,0.17970748245716095,0.2007617950439453,0.04348020007212957,0.031406709303458534,0.04404516269763311,[[0.261316]],[[0.18875432]],[[0.26471143]],24.624579429626465
8,1,0.0,relu,7,10,64,4,2,25,0.15457777678966522,0.17768625915050507,0.04013135408361753,0.027923285961151123,0.040714199344317116,[[0.24118944]],[[0.16781895]],[[0.24469234]],25.055432081222534
9,1,0.0,relu,7,10,64,5,1,25,0.1741514950990677,0.19511394202709198,0.04207054153084755,0.030070713410774868,0.04263960445920626,[[0.25284395]],[[0.18072499]],[[0.25626402]],21.743577480316162
10,1,0.0,relu,7,10,64,5,2,25,0.22479866445064545,0.24800901114940643,0.05282829205195109,0.040906742215156555,0.05327130729953448,[[0.31749804]],[[0.24584952]],[[0.32016056]],21.226882219314575
11,1,0.0,relu,7,10,64,6,1,25,0.1604779213666916,0.18196339905261993,0.04071925828854243,0.028824088474114735,0.04133181522289912,[[0.24472274]],[[0.17323277]],[[0.24840421]],19.418898344039917
12,1,0.0,relu,7,10,64,6,2,25,0.15569858253002167,0.18064194917678833,0.04074521114428838,0.02864876762032509,0.04138167450825373,[[0.24487872]],[[0.17217909]],[[0.24870386]],24.97454571723938
13,1,0.0,relu,7,20,32,4,1,25,0.1918073296546936,0.21746347844600677,0.042232790340979896,0.030054204165935516,0.042947053288420044,[[0.25381907]],[[0.18062577]],[[0.25811179]],15.4000723361969
14,1,0.0,relu,7,20,32,4,2,25,0.16560862958431244,0.19193445146083832,0.039594005793333054,0.027330953006943066,0.04013731827338537,[[0.23795997]],[[0.16425903]],[[0.24122528]],16.588740348815918
15,1,0.0,relu,7,20,32,5,1,25,0.18128299713134766,0.20681197941303253,0.042163037384549774,0.030128355448444683,0.04281796390811602,[[0.25339985]],[[0.18107142]],[[0.25733596]],16.018640518188477
16,1,0.0,relu,7,20,32,5,2,25,0.16008330881595612,0.18496708571910858,0.0416497178375721,0.02918362741669019,0.042258561899264656,[[0.2503148]],[[0.1753936]],[[0.25397396]],15.918106317520142
17,1,0.0,relu,7,20,32,6,1,25,0.16275644302368164,0.18790370225906372,0.03896999297042688,0.026906991998354595,0.03961973264813423,[[0.23420966]],[[0.16171102]],[[0.23811459]],15.057751655578613
18,1,0.0,relu,7,20,32,6,2,25,0.1506516933441162,0.17570476233959198,0.03909358692665895,0.02713141217827797,0.03963500385483106,[[0.23495246]],[[0.16305979]],[[0.23820637]],15.872977256774902
19,1,0.0,relu,7,20,64,4,1,25,0.21042974293231964,0.23439936339855194,0.04255041480064392,0.030343299110730488,0.04318395753701528,[[0.25572799]],[[0.18236323]],[[0.25953558]],14.565739154815674
20,1,0.0,relu,7,20,64,4,2,25,0.17431862652301788,0.19944822788238525,0.04382132552564144,0.03185389873882135,0.04439724857608477,[[0.26336617]],[[0.19144193]],[[0.26682746]],14.447083950042725
21,1,0.0,relu,7,20,64,5,1,25,0.18751759827136993,0.21426653861999512,0.043876526256402336,0.031535714864730835,0.04455431799093882,[[0.26369792]],[[0.18952965]],[[0.26777145]],15.111824989318848
22,1,0.0,relu,7,20,64,5,2,25,0.19598086178302765,0.2177169770002365,0.04816847542921702,0.035726275915900864,0.048864456514517464,[[0.28949254]],[[0.21471492]],[[0.29367538]],18.15849280357361
23,1,0.0,relu,7,20,64,6,1,25,0.19519980251789093,0.22062723338603973,0.04544896321992079,0.03309295574824015,0.04616560290257136,[[0.27314827]],[[0.19888866]],[[0.27745527]],14.886166334152222
24,1,0.0,relu,7,20,64,6,2,25,0.14878292381763458,0.173495814204216,0.040302883833646774,0.02844009113808473,0.0408351793885231,[[0.24222033]],[[0.17092495]],[[0.24541943]],16.92237114906311
25,1,0.0,relu,7,30,32,4,1,25,0.20584619045257568,0.2281475067138672,0.04322816183169683,0.030689017847180367,0.04394550000627836,[[0.25980125]],[[0.184441]],[[0.26411246]],13.481069087982178
26,1,0.0,relu,7,30,32,4,2,25,0.16508172452449799,0.1894041895866394,0.039700922866662346,0.02660444254676501,0.040427797784407936,[[0.23860255]],[[0.1598927]],[[0.24297106]],13.648635387420654
27,1,0.0,relu,7,30,32,5,1,25,0.16932253539562225,0.1922788769006729,0.03920222818851471,0.026438390836119652,0.039887018501758575,[[0.23560539]],[[0.15889473]],[[0.23972098]],14.311381340026855
28,1,0.0,relu,7,30,32,5,2,25,0.16834451258182526,0.1922941654920578,0.0419427827000618,0.02908325381577015,0.04263443251450857,[[0.25207612]],[[0.17479036]],[[0.25623294]],12.759393453598022
29,1,0.0,relu,7,30,32,6,1,25,0.1659855842590332,0.1894742101430893,0.03791158522168795,0.025350036099553108,0.038631144911050797,[[0.22784863]],[[0.15235372]],[[0.23217318]],12.822086334228516
30,1,0.0,relu,7,30,32,6,2,25,0.1606401652097702,0.18471670150756836,0.039022086188197136,0.02623727296789487,0.03972579538822174,[[0.23452274]],[[0.15768601]],[[0.23875203]],12.541225910186768
31,1,0.0,relu,7,30,64,4,1,25,0.173070028424263,0.1961662322282791,0.040971399595340095,0.028553407018383343,0.04160910348097483,[[0.24623811]],[[0.17160598]],[[0.25007071]],14.23511552810669
32,1,0.0,relu,7,30,64,4,2,25,0.1627093106508255,0.1854298859834671,0.04088975737492243,0.02774550144871076,0.04154470438758532,[[0.24574744]],[[0.16675046]],[[0.24968367]],14.156075716018677
33,1,0.0,relu,7,30,64,5,1,25,0.1756649762392044,0.19851648807525635,0.042561655243237816,0.030280644074082375,0.043138508995374046,[[0.25579555]],[[0.18198667]],[[0.25926244]],13.309157848358154
34,1,0.0,relu,7,30,64,5,2,25,0.17292799055576324,0.1961175799369812,0.04248523091276487,0.029566760485370953,0.043193877985080086,[[0.25533624]],[[0.17769623]],[[0.25959521]],12.526026248931885
35,1,0.0,relu,7,30,64,6,1,25,0.17176009714603424,0.19420988857746124,0.04063714047273,0.02785184606909752,0.041329791148503624,[[0.24422921]],[[0.16738959]],[[0.24839204]],13.34130334854126
36,1,0.0,relu,7,30,64,6,2,25,0.16838867962360382,0.19144149124622345,0.03939555026590824,0.02661540483434995,0.040080769608418144,[[0.23676726]],[[0.15995858]],[[0.24088543]],13.539980173110962
37,1,0.0,relu,14,10,32,4,1,25,0.16492582857608795,0.18884558975696564,0.04134573973715305,0.029189128428697586,0.04208250530064106,[[0.2484879]],[[0.17542666]],[[0.25291586]],24.915570497512817
38,1,0.0,relu,14,10,32,4,2,25,0.20889367163181305,0.23279570043087006,0.04990094155073166,0.037562831615408264,0.05049799382686615,[[0.29990466]],[[0.22575262]],[[0.30349294]],21.049163103103638
