experiment,layers,neurons,dropout_rate,activation,timesteps,batch_size,epochs,mae_blind,rmse_blind,loss,mae,rmse,loss,mae,rmse,train_time
1,1,32,0.0,relu,7,10,50,0.16826491057872772,0.19308637082576752,0.041897706066568695,0.030416400482257206,0.04251734415690104,[[0.25180521]],[[0.18280257]],[[0.25552924]],48.461973667144775
2,1,32,0.0,relu,7,20,50,0.16485491394996643,0.1903264969587326,0.037333410854140915,0.02488294926782449,0.03805450536310673,[[0.2243738]],[[0.14954653]],[[0.22870758]],31.475544452667236
3,1,32,0.0,relu,7,30,50,0.1589491367340088,0.1848522275686264,0.037178649877508484,0.024669892465074856,0.037903442357977234,[[0.22344369]],[[0.14826605]],[[0.22779969]],24.262598514556885
4,1,32,0.0,relu,14,10,50,0.18810223042964935,0.21213804185390472,0.04242509106794993,0.03042488234738509,0.04321382691462835,[[0.2549748]],[[0.18285354]],[[0.2597151]],48.223224401474
5,1,32,0.0,relu,14,20,50,0.16831384599208832,0.1954069882631302,0.037490250542759895,0.025112350781758625,0.03833607770502567,[[0.22531641]],[[0.15092523]],[[0.23039983]],30.556185483932495
6,1,32,0.0,relu,14,30,50,0.16457782685756683,0.1916600614786148,0.037287238985300064,0.024864664301276207,0.038139128436644874,[[0.22409631]],[[0.14943663]],[[0.22921616]],25.53916597366333
7,1,32,0.0,relu,21,10,50,0.19388069212436676,0.21844208240509033,0.044253390903274216,0.030417824164032936,0.04399333894252777,[[0.26596288]],[[0.18281112]],[[0.26439997]],47.69961452484131
8,1,32,0.0,relu,21,20,50,0.1732761114835739,0.20064730942249298,0.03949460138877233,0.02530285281439622,0.039311692118644714,[[0.23736255]],[[0.15207015]],[[0.23626327]],30.728394985198975
9,1,32,0.0,relu,21,30,50,0.16971391439437866,0.19727809727191925,0.03953213865558306,0.025403404608368874,0.03932830939690272,[[0.23758815]],[[0.15267446]],[[0.23636314]],24.578898191452026
10,1,32,0.0,tanh,7,10,50,0.171905517578125,0.19866812229156494,0.03828368087609609,0.02596115879714489,0.03894103939334551,[[0.23008492]],[[0.15602656]],[[0.23403565]],40.956199645996094
11,1,32,0.0,tanh,7,20,50,0.16428931057453156,0.18958115577697754,0.037379724284013115,0.024869337677955627,0.03810310487945875,[[0.22465214]],[[0.14946472]],[[0.22899966]],33.75507974624634
12,1,32,0.0,tanh,7,30,50,0.16245611011981964,0.18819038569927216,0.03700814458231131,0.024359676366051037,0.03774928612013658,[[0.22241895]],[[0.14640165]],[[0.22687321]],24.20388436317444
13,1,32,0.0,tanh,14,10,50,0.17360205948352814,0.20035727322101593,0.038475128511587776,0.02629864277939002,0.0392716738084952,[[0.23123552]],[[0.15805484]],[[0.23602276]],48.77266311645508
14,1,32,0.0,tanh,14,20,50,0.16630657017230988,0.19308726489543915,0.037382494658231735,0.024949461842576664,0.03823707873622576,[[0.22466879]],[[0.14994627]],[[0.22980484]],29.19839644432068
15,1,32,0.0,tanh,14,30,50,0.16520066559314728,0.19204817712306976,0.036939231057961784,0.024404194826881092,0.03782407194375992,[[0.22200478]],[[0.14666921]],[[0.22732267]],24.240050315856934
16,1,32,0.0,tanh,21,10,50,0.1755221039056778,0.20266073942184448,0.040023231878876686,0.025962087015310924,0.03982267342507839,[[0.24053962]],[[0.15603214]],[[0.23933427]],41.72347092628479
17,1,32,0.0,tanh,21,20,50,0.1732090264558792,0.2002602368593216,0.039334152514735855,0.024970325951774914,0.039135479678710304,[[0.23639826]],[[0.15007166]],[[0.23520423]],33.260180711746216
18,1,32,0.0,tanh,21,30,50,0.16992701590061188,0.19814430177211761,0.0391720092544953,0.024794092401862144,0.03898098381857077,[[0.23542378]],[[0.1490125]],[[0.23427571]],23.24242663383484
19,1,32,0.5,relu,7,10,50,0.16910320520401,0.19233399629592896,0.04317476600408554,0.031247343868017197,0.043697976817687355,[[0.25948034]],[[0.18779654]],[[0.26262484]],50.24196982383728
20,1,32,0.5,relu,7,20,50,0.17389236390590668,0.19730216264724731,0.04080021505554517,0.02869448686639468,0.04139382392168045,[[0.24520929]],[[0.17245387]],[[0.24877688]],28.43864679336548
21,1,32,0.5,relu,7,30,50,0.16447287797927856,0.18735940754413605,0.04207530369361242,0.030870427067081135,0.04254884272813797,[[0.25287258]],[[0.18553127]],[[0.25571854]],27.350770950317383
22,1,32,0.5,relu,14,10,50,0.17292876541614532,0.1961648017168045,0.04463270679116249,0.03295173496007919,0.04518465076883634,[[0.26824257]],[[0.19803993]],[[0.27155975]],43.54418969154358
23,1,32,0.5,relu,14,20,50,0.16946740448474884,0.1952616423368454,0.04046440000335375,0.028825159495075543,0.0411430187523365,[[0.24319104]],[[0.17323921]],[[0.24726954]],30.70646047592163
24,1,32,0.5,relu,14,30,50,0.17629997432231903,0.2001604586839676,0.04214021563529968,0.03094268962740898,0.04279633859793345,[[0.2532627]],[[0.18596556]],[[0.25720599]],23.539201259613037
25,1,32,0.5,relu,21,10,50,0.17978902161121368,0.20325320959091187,0.04661761596798897,0.03336463992794355,0.046129122376441956,[[0.28017187]],[[0.20052149]],[[0.27723603]],52.481484174728394
26,1,32,0.5,relu,21,20,50,0.17229144275188446,0.1993747502565384,0.042502732326587044,0.029447584723432858,0.04212784022092819,[[0.25544142]],[[0.17697998]],[[0.25318832]],33.72718358039856
27,1,32,0.5,relu,21,30,50,0.18191225826740265,0.20790918171405792,0.0434736559788386,0.030619084214170773,0.04308853546778361,[[0.26127667]],[[0.1840207]],[[0.2589621]],24.911584615707397
