experiment,layers,neurons,dropout_rate,activation,timesteps,epochs,batch_size,mae_blind,rmse_blind,train_time
1,1,32,0.0,relu,1,100,10,,,0.008832372
2,1,32,0.0,tanh,1,100,10,,,0.008832372
3,1,32,0.5,relu,1,100,10,,,0.040123828
4,1,32,0.5,tanh,1,100,10,,,0.040123828
5,1,64,0.0,relu,1,100,10,,,0.004881272
6,1,64,0.0,tanh,1,100,10,,,0.004881272
7,1,64,0.5,relu,1,100,10,,,0.036230516
8,1,64,0.5,tanh,1,100,10,,,0.036230516
9,1,128,0.0,relu,1,100,10,,,0.0037062205
10,1,128,0.0,tanh,1,100,10,,,0.0037062205
11,1,128,0.5,relu,1,100,10,,,0.019039676
12,1,128,0.5,tanh,1,100,10,,,0.019039676
