experiment,layers,neurons,dropout_rate,activation,timesteps,batch_size,epochs,mae_blind,rmse_blind,loss,mae,rmse,loss,mae,rmse,train_time
1,1,32,0.0,relu,7,10,25,0.1824089139699936,0.20619475841522217,0.046189870685338974,0.03492055647075176,0.04666542634367943,[[0.27760112]],[[0.20987254]],[[0.28045921]],37.76308083534241
2,1,32,0.0,relu,7,20,25,0.1719072014093399,0.19639337062835693,0.040459128096699715,0.02816989521185557,0.041103304674228035,[[0.24315936]],[[0.16930107]],[[0.24703086]],23.125746250152588
3,1,32,0.0,relu,7,30,25,0.1616436094045639,0.1856091469526291,0.03940967656672001,0.027028926958640415,0.04008762910962105,[[0.23685216]],[[0.16244385]],[[0.24092665]],20.758739948272705
4,1,32,0.0,relu,14,10,25,0.176366925239563,0.20037859678268433,0.046225983649492264,0.03510288273294767,0.0467864473660787,[[0.27781816]],[[0.21096833]],[[0.28118655]],33.391608238220215
5,1,32,0.0,relu,14,20,25,0.18072523176670074,0.20482337474822998,0.04166466618577639,0.029471134146054585,0.042373975118001304,[[0.25040464]],[[0.17712152]],[[0.25466759]],22.601959943771362
6,1,32,0.0,relu,14,30,25,0.17377948760986328,0.19707047939300537,0.040369320660829544,0.028195532659689587,0.04109889889756838,[[0.24261962]],[[0.16945515]],[[0.24700438]],22.072081327438354
7,1,32,0.0,relu,21,10,25,0.1876428872346878,0.2134341597557068,0.04960938667257627,0.03710096329450607,0.04918298994501432,[[0.29815241]],[[0.22297679]],[[0.29558977]],31.761691093444824
8,1,32,0.0,relu,21,20,25,0.18745173513889313,0.21205921471118927,0.04354311649998029,0.029905788600444794,0.04324841250975927,[[0.26169413]],[[0.17973379]],[[0.25992296]],24.464050769805908
9,1,32,0.0,relu,21,30,25,0.18110740184783936,0.20583738386631012,0.04309301202495893,0.029378941903511684,0.04281325886646906,[[0.258989]],[[0.17656744]],[[0.25730769]],25.413264989852905
10,1,32,0.0,tanh,7,10,25,0.19012071192264557,0.21418090164661407,0.04495398576060931,0.032980747520923615,0.04555515324076017,[[0.27017345]],[[0.19821429]],[[0.27378647]],34.60926818847656
11,1,32,0.0,tanh,7,20,25,0.16754214465618134,0.19198685884475708,0.0394279503573974,0.02716287598013878,0.0400846041738987,[[0.23696198]],[[0.16324888]],[[0.24090847]],25.650270462036133
12,1,32,0.0,tanh,7,30,25,0.1722286492586136,0.1964491605758667,0.039168283343315125,0.026680453370014828,0.03986404463648796,[[0.23540138]],[[0.16034952]],[[0.23958291]],20.892985820770264
13,1,32,0.0,tanh,14,10,25,0.1853620409965515,0.2112511247396469,0.045938671876986824,0.03425711579620838,0.04659097145001093,[[0.27609142]],[[0.20588527]],[[0.28001174]],36.05874562263489
14,1,32,0.0,tanh,14,20,25,0.1775863766670227,0.20213550329208374,0.040932973846793175,0.028718268498778343,0.04166042059659958,[[0.24600717]],[[0.17259679]],[[0.25037913]],23.21406078338623
15,1,32,0.0,tanh,14,30,25,0.18314574658870697,0.20719224214553833,0.039995525032281876,0.027714248125751812,0.04074136291941007,[[0.24037311]],[[0.16656263]],[[0.24485559]],22.289552211761475
16,1,32,0.0,tanh,21,10,25,0.2024105191230774,0.227411150932312,0.049051241328318916,0.03556081155935923,0.04872299606601397,[[0.29479796]],[[0.21372048]],[[0.29282521]],36.34798336029053
17,1,32,0.0,tanh,21,20,25,0.18536604940891266,0.20942772924900055,0.04245188335577647,0.02869212006529172,0.042164954667290054,[[0.25513582]],[[0.17243964]],[[0.25341138]],29.871047735214233
18,1,32,0.0,tanh,21,30,25,0.1886434555053711,0.21451257169246674,0.04217557112375895,0.02828688050309817,0.04198038329680761,[[0.25347518]],[[0.17000415]],[[0.2523021]],24.304893493652344
19,1,32,0.5,relu,7,10,25,0.17678874731063843,0.20059020817279816,0.04861092194914818,0.03675796836614609,0.04886604721347491,[[0.29215164]],[[0.22091539]],[[0.29368494]],35.893303871154785
